City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Butaritari,KI,79.52,3.0707,172.7902,Isles Sunset Lodge
2,Clarksville,US,85.71,36.5298,-87.3595,Midtown Inn
3,Hasaki,JP,79.29,35.7333,140.8333,Inubosaki Kanko Hotel
4,Hithadhoo,MV,81.82,-0.6,73.0833,Scoop Guest House
5,Almeria,ES,89.76,37.1667,-2.3333,Casa Rural El Laurel
6,Nouna,BF,88.41,12.7333,-3.8667,Sabunyuma So
7,Atuona,PF,77,-9.8,-139.0333,Villa Enata
8,Sao Filipe,CV,76.14,14.8961,-24.4956,Hotel Xaguate
9,Broome,US,85.01,42.2506,-75.833,Chenango Valley State Park
10,Oriximina,BR,86.14,-1.7656,-55.8661,Pousada Tia Amélia
11,Indore,IN,80.78,22.7179,75.8333,Capital O 62303 Hotel Apna Palace
12,Nouadhibou,MR,76.98,20.931,-17.0347,El Medina
13,Nikolskoye,RU,82.87,59.7035,30.7861,Tourist House - Sablino
14,Padang,ID,78.62,-0.9492,100.3543,Mercure Padang
15,Iralaya,HN,81.66,15,-83.2333,Iglesia morava renovada
16,Bengkulu,ID,77.22,-3.8004,102.2655,Grage Hotel Bengkulu
17,Ramon Castilla,PE,75.45,-4.2569,-69.9594,Cabañas La Manigua
18,Linqiong,CN,85.82,30.4159,103.4609,Tianlun Tanxianglou Hotel
20,Bacolod,PH,80.02,10.6667,122.95,Planta Hotel & Residences
21,Vila Velha,BR,78.75,-20.3297,-40.2925,Hotel Vitória Palace
22,San Patricio,US,87.89,28.017,-97.5169,"Motel 6 Sinton, TX"
23,Kakonko,TZ,80.26,-3.2828,30.9642,Edward Memorial Guest House
24,Zemio,CF,82.18,5.0314,25.1361,OCHA Office
25,Bermeo,ES,84.6,43.4209,-2.7215,Eco-Hotel Mundaka
26,Urbana,US,78.1,40.1106,-88.2073,Hilton Garden Inn Champaign/ Urbana
28,Katsuura,JP,77.45,35.1333,140.3,Katsuura Hotel Mikazuki
29,Tateyama,JP,79.11,34.9833,139.8667,Tateyama Seaside Hotel
30,Jacareacanga,BR,89.02,-6.2222,-57.7528,Casa do Ian😎
31,Ajdabiya,LY,84.22,30.7554,20.2263,Almadina Hotel
32,Grand-Bourg,GP,86.2,15.8835,-61.3148,Coco Beach Resort
33,Mangrol,IN,82.18,21.1167,70.1167,Hotel The Royal Honours
34,Samana,DO,80.82,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
35,Shaowu,CN,82.33,27.3409,117.4831,Yijie Express Hotel
36,Erzin,TR,86.61,36.9559,36.2,Artemis Otel
37,Sabang,ID,83.62,5.8933,95.3214,Hotel Citra
38,Isangel,VU,75.2,-19.55,169.2667,Tanna Lodge
39,Kapaa,US,80.19,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Kingman,US,85.55,35.1894,-114.053,Rodeway Inn Kingman Route 66
42,Ponta Do Sol,PT,81.72,32.6667,-17.1,Hotel do Campo
43,Sola,VU,80.87,-13.8833,167.55,Leumerus Bungalows
44,Diamantino,BR,88.27,-14.4086,-56.4461,Hotel Delta
45,Denpasar,ID,78.46,-8.65,115.2167,OYO 3156 Hotel Warta 2
46,Salalah,OM,78.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
47,Acapulco,MX,81.9,16.8634,-99.8901,HS Hotsson Smart Acapulco
48,Saint George,US,85.78,37.1041,-113.5841,Best Western Plus Abbey Inn
49,Portmore,JM,87.76,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
51,Axim,GH,79.48,4.8699,-2.2405,Axim Beach Resort And Spa
52,Alexandria,EG,86.54,31.2156,29.9553,Royal Crown Hotel
53,Pinahat,IN,88.77,26.8839,78.3781,Dadauriya Tent House
54,Vila Franca Do Campo,PT,78.19,37.7167,-25.4333,Pestana Bahia Praia
55,Porto Murtinho,BR,89.62,-21.6989,-57.8825,Hotel Pantanal
56,Shenjiamen,CN,79.63,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
57,Biak,ID,75.99,-0.9131,122.8766,Penginapan Kim
58,Auki,SB,77.22,-8.7676,160.7034,Auki Motel
59,Guisijan,PH,81.07,11.0932,122.0461,Bagongbayan
60,Barinas,VE,78.84,8.6226,-70.2075,Hotel Mastranto Suite
61,Bardiyah,LY,82.92,31.7561,25.0865,بورتو بردية
62,Hamilton,US,82.09,39.1834,-84.5333,Six Acres Bed & Breakfast
63,Muroto,JP,80.15,33.2833,134.15,Oota Ryokan
64,Ambilobe,MG,77.85,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
65,Sao Jose Da Coroa Grande,BR,78.1,-8.8978,-35.1478,Crôa Mares Hotel
67,Roma,US,84.72,43.2128,-75.4557,Wingate By Wyndham Rome
68,Trat,TH,79.92,12.5,102.5,สวนหนิง-อัศ
69,Samarai,PG,80.22,-10.6167,150.6667,Nuli Sapi
70,Porto Novo,BJ,82.22,6.4965,2.6036,Tour Eiffel Hotel Benin
71,Makakilo City,US,75.52,21.3469,-158.0858,Marriott's Ko Olina Beach Club
72,Lazaro Cardenas,MX,82.11,17.9583,-102.2,HOTEL QUINTA ANTIGUA
73,Atakpame,TG,83.12,7.5333,1.1333,Hôtel Luxembourg Atakpame
74,Lumut,MY,82.42,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
75,Muros,ES,75.38,42.7762,-9.0603,Apartment Av. Castelao
76,Kuznechnoye,RU,81,61.12,29.8686,Konferents Hotel
77,Ashqelon,IL,89.82,31.6693,34.5715,Leonardo Ashkelon
78,Loiza,PR,82.4,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
79,Harper,LR,78.08,4.375,-7.7169,Screensaver
80,Tabou,CI,78.44,4.423,-7.3528,hotêl doufoulougou
81,Touros,BR,82.87,-5.1989,-35.4608,INN NEW HORIZON
82,Bethel,US,86.65,41.3712,-73.414,Courtyard by Marriott Danbury
83,Hobyo,SO,78.73,5.3505,48.5268,Iftin hotel hobyo
84,Nha Trang,VN,80.6,12.25,109.1833,Hanoi Golden Hotel
85,Sena Madureira,BR,84.2,-9.0656,-68.6569,Hotel Central
86,Itaituba,BR,87.96,-4.2761,-55.9836,Hotel Campos
87,Itacoatiara,BR,81.5,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
88,Port Blair,IN,81.09,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
90,Rantauprapat,ID,75.15,2.1,99.8333,Permata Land Hotel & Resort
91,Tanga,TZ,77.25,-5.0667,39.1,Lulu Image Hotel
92,North Augusta,US,83.34,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
93,Kurchum,KZ,75.61,48.5722,83.6542,"""Kneda"" Hotel"
94,Mazatlan,MX,87.03,23.2167,-106.4167,Hotel La Siesta
95,Bubaque,GW,78.98,11.2833,-15.8333,"Casa Dora, Bubaque"
96,Glace Bay,CA,78.89,46.1969,-59.957,Cedarwoods Bed & Breakfast
98,Sheridan,US,80.31,44.8333,-106.9173,Comfort Inn & Suites
99,Saint Anthony,US,75.99,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
100,Ixtapa,MX,83.23,20.7,-105.2,hotel la terminal
101,Le Portel,FR,77.99,50.7056,1.5757,ibis Boulogne-sur-Mer Centre Les Ports
102,Saint-Francois,FR,81.84,46.4154,3.9054,Manoir Du Bonheur
103,Lorengau,PG,80.28,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Xuanhua,CN,78.24,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
105,Jacksonville Beach,US,86.05,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
106,Phan Thiet,VN,77.58,10.9333,108.1,Hotel Saigon-PT
107,Hami,CN,81.12,42.8,93.45,Laoyutang Resort
108,Inhambane,MZ,77,-23.865,35.3833,Oceano
109,Nybro,SE,80.04,56.7446,15.9071,Stora Hotellet I Nybro
110,Arona,ES,82.92,28.0996,-16.681,Paradise Court
111,Zolochiv,UA,78.58,49.806,24.8944,Hotel Avalon
112,Dingzhou,CN,82.51,38.5131,114.9956,宜家时尚宾馆
113,Kasane,BW,78.89,-17.8167,25.15,The Old House
115,Marmaris,TR,87.12,36.855,28.2742,BLUE BAY PLATINUM HOTEL
116,Meadow Lake,US,78.4,34.8014,-106.5436,TumbleWeed RV Park
117,Kupang,ID,76.12,-10.1667,123.5833,Hotel On The Rock by Prasanthi
118,Aguimes,ES,83.03,27.9054,-15.4461,Hotel Villa de Aguimes
119,Pozo Colorado,PY,83.77,-23.4923,-58.7972,Hospedaje La Norteña
120,Martil,MA,84.16,35.6166,-5.2752,فندق مرتيل
121,Yokadouma,CM,77.31,3.5167,15.05,Hôtel De Ville De Yokadouma
122,Doka,SD,81.46,13.5167,35.7667,Um Rakuba Refugee Camp
123,Nantucket,US,75.34,41.2835,-70.0995,Jared Coffin House
124,Suseni,RO,79.83,46.6667,25.55,Pensiunea BORSIKA
125,Horqueta,PY,85.33,-23.3428,-57.0597,Hospedaje Heina
126,Namatanai,PG,79.21,-3.6667,152.4333,Seagulls Inn Namatani
127,Kloulklubed,PW,77.5,7.0419,134.2556,Storyboard Beach Resort
128,Ampanihy,MG,79.2,-24.7,44.75,Angora Hotel
129,Georgetown,MY,85.95,5.4112,100.3354,Cititel Penang
130,Digha,IN,84.9,21.6833,87.55,Khoniker Atithi
131,Aksay,RU,79.25,47.26,39.87,Chernaya Zhemchuzhina
