City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Severo-Kurilsk,RU,2022-07-21 13:49:09,50.6789,156.125,52.18,97,100,20.69
1,Rikitea,PF,2022-07-21 13:44:38,-23.1203,-134.9692,74.05,73,1,7.74
2,Provideniya,RU,2022-07-21 13:49:10,64.3833,-173.3,39.43,75,100,9.28
3,Pergamino,AR,2022-07-21 13:49:10,-33.89,-60.5736,55.9,71,100,8.01
4,Cidreira,BR,2022-07-21 13:49:10,-30.1811,-50.2056,68.58,77,100,5.1
5,Albany,US,2022-07-21 13:42:16,42.6001,-73.9662,83.62,70,3,7.18
6,Seoul,KR,2022-07-21 13:48:56,37.5683,126.9778,74.8,83,75,4.61
7,Butaritari,KI,2022-07-21 13:49:11,3.0707,172.7902,79.52,78,98,4.99
8,Bosaso,SO,2022-07-21 13:44:37,11.2842,49.1816,93.18,49,0,12.66
9,Jiangyou,CN,2022-07-21 13:49:11,31.7667,104.7167,74.86,89,100,4.5
10,Clarksville,US,2022-07-21 13:44:17,36.5298,-87.3595,85.71,73,0,1.01
11,Souillac,MU,2022-07-21 13:49:12,-20.5167,57.5167,71.98,68,75,16.11
12,Hasaki,JP,2022-07-21 13:49:12,35.7333,140.8333,79.29,91,100,13.2
13,Macusani,PE,2022-07-21 13:49:12,-14.0833,-70.4333,45.03,18,2,2.28
14,Pisco,PE,2022-07-21 13:49:13,-13.7,-76.2167,60.85,77,100,2.3
15,Hithadhoo,MV,2022-07-21 13:49:13,-0.6,73.0833,81.82,70,100,5.79
16,Rio Cuarto,AR,2022-07-21 13:49:13,-33.1307,-64.3499,63.68,47,0,9.22
17,Bluff,NZ,2022-07-21 13:49:14,-46.6,168.3333,41.81,76,100,5.97
18,Almeria,ES,2022-07-21 13:49:14,37.1667,-2.3333,89.76,27,0,11.92
19,Nouna,BF,2022-07-21 13:49:14,12.7333,-3.8667,88.41,51,73,8.77
20,Hobart,AU,2022-07-21 13:40:07,-42.8794,147.3294,40.05,89,75,10.36
21,Atuona,PF,2022-07-21 13:44:35,-9.8,-139.0333,77.0,76,12,14.58
22,Sao Filipe,CV,2022-07-21 13:49:15,14.8961,-24.4956,76.14,86,58,7.9
23,Mataura,NZ,2022-07-21 13:49:15,-46.1927,168.8643,41.49,94,100,2.33
24,Ushuaia,AR,2022-07-21 13:48:41,-54.8,-68.3,29.86,86,100,17.27
25,Mogocha,RU,2022-07-21 13:49:16,53.7333,119.7667,63.45,94,45,3.8
26,Broome,US,2022-07-21 13:49:16,42.2506,-75.833,85.01,66,0,10.36
27,Oriximina,BR,2022-07-21 13:49:16,-1.7656,-55.8661,86.14,62,12,1.92
28,New Norfolk,AU,2022-07-21 13:49:16,-42.7826,147.0587,39.7,96,0,2.86
29,Suhbaatar,MN,2022-07-21 13:49:17,50.2314,106.2078,55.53,92,100,5.41
30,Ust-Ordynskiy,RU,2022-07-21 13:49:17,52.805,104.7508,58.53,67,100,3.18
31,Indore,IN,2022-07-21 13:45:23,22.7179,75.8333,80.78,78,40,6.91
32,Port Alfred,ZA,2022-07-21 13:49:18,-33.5906,26.891,63.18,73,0,4.0
33,Punta Arenas,CL,2022-07-21 13:49:18,-53.15,-70.9167,32.11,93,75,27.63
34,Carnarvon,AU,2022-07-21 13:49:18,-24.8667,113.6333,67.21,66,95,15.77
35,San Quintin,MX,2022-07-21 13:49:18,30.4833,-115.95,68.18,86,100,8.39
36,Nouadhibou,MR,2022-07-21 13:49:19,20.931,-17.0347,76.98,73,20,10.36
37,Jamestown,US,2022-07-21 13:49:19,42.097,-79.2353,74.79,83,100,13.8
38,Narsaq,GL,2022-07-21 13:49:19,60.9167,-46.05,59.22,67,9,3.47
39,Hilo,US,2022-07-21 13:45:44,19.7297,-155.09,74.28,98,49,1.99
40,Nikolskoye,RU,2022-07-21 13:49:20,59.7035,30.7861,82.87,44,0,7.87
41,Constitucion,CL,2022-07-21 13:49:02,-35.3333,-72.4167,54.03,79,46,4.65
42,Dong Xoai,VN,2022-07-21 13:49:23,11.5333,106.9167,73.45,97,94,2.57
43,Pacific Grove,US,2022-07-21 13:49:23,36.6177,-121.9166,55.08,96,100,10.0
44,Lebu,CL,2022-07-21 13:44:39,-37.6167,-73.65,49.73,89,79,1.34
45,Tuktoyaktuk,CA,2022-07-21 13:49:24,69.4541,-133.0374,50.0,93,100,3.44
46,Hermanus,ZA,2022-07-21 13:49:24,-34.4187,19.2345,60.8,67,9,5.86
47,Vaini,TO,2022-07-21 13:49:24,-21.2,-175.2,69.96,94,20,3.44
48,Cape Town,ZA,2022-07-21 13:49:25,-33.9258,18.4232,64.81,61,0,6.91
49,Padang,ID,2022-07-21 13:49:25,-0.9492,100.3543,78.62,87,100,3.31
50,Iralaya,HN,2022-07-21 13:49:25,15.0,-83.2333,81.66,80,12,8.63
51,Bengkulu,ID,2022-07-21 13:49:26,-3.8004,102.2655,77.22,89,80,4.5
52,Ramon Castilla,PE,2022-07-21 13:49:26,-4.2569,-69.9594,75.45,94,75,2.3
53,Komsomolets,KZ,2022-07-21 13:49:26,53.7453,62.0708,69.89,58,35,8.86
54,Linqiong,CN,2022-07-21 13:49:26,30.4159,103.4609,85.82,91,92,3.96
55,Fairfield,US,2022-07-21 13:46:28,41.2668,-73.3162,86.79,78,0,5.75
56,Grindavik,IS,2022-07-21 13:49:27,63.8424,-22.4338,55.35,94,75,11.5
57,Beringovskiy,RU,2022-07-21 13:49:27,63.05,179.3167,46.96,67,100,15.43
58,Castro,BR,2022-07-21 13:49:26,-24.7911,-50.0119,68.86,59,3,5.84
59,Abnub,EG,2022-07-21 13:49:28,27.2696,31.1511,98.82,12,0,19.46
60,Mar Del Plata,AR,2022-07-21 13:42:20,-38.0023,-57.5575,55.09,74,0,14.0
61,Chokurdakh,RU,2022-07-21 13:49:28,70.6333,147.9167,39.4,51,100,8.79
62,Norman Wells,CA,2022-07-21 13:49:28,65.282,-126.8329,55.44,100,75,3.44
63,Guerrero Negro,MX,2022-07-21 13:49:29,27.9769,-114.0611,68.0,84,97,15.77
